t	v	dv
2.449197380215118613e+01 -6.398264824179467070e+00 9.572475202865444288e+00
2.515991545841619370e+01 8.493241896383885603e+00 5.900115863555645213e+00
2.525586988112167575e+01 7.813658831423596851e+00 6.287811194069659493e+00
2.533210615363005402e+01 -4.216564675881601332e+00 5.433099142053555042e+00
2.542109670348972372e+01 -2.732858190616719085e+00 3.772058598725054335e+00
2.549444827348237652e+01 -1.444816672203792507e+00 4.212088107763315215e+00
2.600676902010071245e+01 -6.896781522528097952e+00 8.118640589411654673e+00
2.608071409710143129e+01 4.998603825992585570e+01 9.294966226598088355e+00
2.617612000489522828e+01 3.288634529395468409e+00 2.647530388054868400e+00
2.625644117484005591e+01 -9.187053889168375065e-01 8.713244810793018047e+00
2.633114891652829925e+01 -1.564121795292551020e+00 5.037052664010261083e+00
2.642199187110795577e+01 8.053245961637120587e+00 2.707076075290327566e+00
2.716832582869011503e+01 -7.343677593464328801e+00 5.162312434325363242e+00
2.732340728045915768e+01 3.836456123119433670e+01 9.524898669101002469e+00
2.742049440833829266e+01 1.708200244361191267e+01 6.830180327806284701e+00
2.807666689654075398e+01 2.363250947023458082e+01 8.165654719174547438e+00
2.817642473792948721e+01 1.745911399640529282e+01 8.752494448375692571e+00
2.824972695835793601e+01 3.264420189404097528e+01 6.104275959760954606e+00
2.833738974813743994e+01 9.120395537830990662e+00 3.512933099448027008e+00
2.841915545734417492e+01 4.808559972978746266e+00 3.392908325564073735e+00
2.916688952572558691e+01 -7.843325957635510548e+00 5.084906438533874251e+00
2.933462259224337387e+01 -1.997368719034902895e+01 5.644512521543211037e+00
2.941994633978254114e+01 6.501973498764007431e+00 2.537457501056841203e+00
3.008344108577967191e+01 -7.926271563258591613e+00 9.177139146332951469e+00
3.017224769572509047e+01 -2.878898265884168239e+01 9.355239869739541803e+00
3.025967169424458802e+01 -1.497844489626978870e+01 6.883786466164078632e+00
3.032579917111583256e+01 -2.786932582234450617e+00 2.917058276246216941e+00
3.042069685641211052e+01 1.502939901974146952e+00 6.438163658550583257e+00
3.100494446652632519e+01 3.316278364972431802e+01 8.603928927699332263e+00
3.108768533139280166e+01 -1.116274361956622663e+00 7.954925532015344913e+00
3.115797061588816774e+01 4.969936276014516707e+00 2.788827347177634586e+00
3.124448588323586407e+01 4.556220629823528157e+00 5.094897720377005612e+00
3.132627987363895627e+01 1.243642781719990431e+01 7.160049420503304951e+00
3.149773334060233765e+01 -4.952801765462885975e+00 6.614901700783484273e+00
3.207413029152530726e+01 1.341077550701397669e+01 9.132535399601639625e+00
3.216716247282644758e+01 6.510578503294445873e+00 3.415327005819026596e+00
3.224645922692540978e+01 -5.462556576577020095e-01 4.651001271217502619e+00
3.233251947124398384e+01 3.377201638279753393e+00 8.761066210180917579e+00
3.300481982981794715e+01 9.060304636006417667e+00 8.427546093153647888e+00
3.324149345028406799e+01 1.139869392613832133e+01 5.529584277146108562e+00
3.332336846309092948e+01 9.951497144574359410e+00 8.843307434332464467e+00
3.341906842258246257e+01 6.726607612322190732e+00 5.015304302425916738e+00
3.349379475930051342e+01 3.390547049343233965e+01 7.624520725725990822e+00
3.408789488797964395e+01 1.758939956966881013e+01 8.908420787260034501e+00
3.417050035220090365e+01 2.076524457850027972e+01 4.502400247529397603e+00
3.425740057889792212e+01 9.590545636651036432e+00 9.715940661687383795e+00
3.433015526630484260e+01 2.127766251592122515e+01 8.621357332966958609e+00
3.441278022332490139e+01 5.029281966061738274e+00 9.805447740377646326e+00
3.507360688009345751e+01 6.314934524866869126e+00 2.601707613680516396e+00
3.516551508006941162e+01 -4.684423191774120809e+00 8.552690948590317532e+00
3.525066386555040054e+01 1.511227812382183089e+01 6.716502369530653382e+00
3.540659604498645763e+01 2.067581429075993782e+01 9.165068760468185971e+00
3.600069134653661962e+01 2.695325628945241547e+01 8.268224529775519471e+00
3.607639659070406424e+01 2.667627223939832248e+01 8.035205253943836112e+00
3.617480448391546588e+01 2.180810097948695514e+00 3.209773820933419231e+00
3.624176329129748808e+01 -2.220449204329971060e+00 3.634609118263313121e+00
3.634336605778489826e+01 -1.446671479636932034e+01 5.711879568130431295e+00
3.700706995565546009e+01 2.487309531454627631e+01 6.122928728395782727e+00
3.708112363872664474e+01 4.762342253882922982e+00 7.688591604741764840e+00
3.725768383904132719e+01 1.461510892530193217e+01 7.280639109309139378e+00
3.742617348037180847e+01 2.003534956610598172e+01 5.409463486886727068e+00
3.824334948002660894e+01 9.106208552088389752e+00 7.073685252906485310e+00
3.907462399878262005e+01 -7.124076283702687640e+00 5.487273338183213944e+00
3.916731924420037814e+01 1.907944601461188050e+00 6.774488665878473981e+00
3.933112256675494223e+01 2.806560777002855112e+00 6.391253140079886208e+00
3.941542734234281653e+01 1.550321261460283750e+01 7.700138802047633568e+00
4.015744314358254030e+01 2.319104039261751993e+01 7.514332699523867731e+00
4.033731525713067612e+01 2.142975632202375280e+01 3.092174253681317264e+00
4.041274659245899414e+01 3.151387049228397075e+01 7.997643853598602526e+00
4.049822180188593279e+01 4.223324644664725724e+01 7.586825685142008169e+00
4.100092254162585448e+01 1.663736510774885957e+01 4.077163071740001143e+00
4.107925720197962960e+01 2.141645014467804486e+01 7.635377621884547494e+00
4.117429537433780240e+01 1.028040961019230437e+01 4.686600882262629497e+00
4.125477004300044115e+01 2.320673754126399402e+01 9.196083192216478963e+00
4.133118717745350068e+01 -4.237998697477022958e+00 5.601078285241783306e+00
4.141638964098455489e+01 4.979171886793345436e+00 3.034426238108092200e+00
4.149276745194045901e+01 2.785068465408773619e+01 5.046885108599045822e+00
4.208879202196262526e+01 -6.090492018967427867e+00 2.842287820474730609e+00
4.217250330405050107e+01 -9.813614516125014120e+00 5.386696470591203934e+00
4.225442870888782210e+01 8.099746948044781902e+00 4.928347211901783709e+00
4.234264390260837274e+01 1.146975086916589781e+01 9.682817963933276317e+00
4.242601989720981237e+01 -4.445329844200937686e+00 6.295459260060486173e+00
4.300252265380618155e+01 -1.834396332480555358e+01 5.603857150854211433e+00
4.307517881007778016e+01 2.425800665938899670e+01 9.437345994746150879e+00
4.316380369500181047e+01 -3.590032904834642125e+01 7.006523745556223481e+00
4.324493523615293356e+01 -1.202516084378223660e+01 4.094989749451627858e+00
4.333274291346702256e+01 -4.439649836209552447e+00 8.977115366991515799e+00
4.341543785431655067e+01 1.152454363398212323e+01 9.064510698712668457e+00
4.400296598234691459e+01 -2.078851823764529172e+01 7.643030307699628878e+00
4.407517961986017241e+01 -5.866621809155304845e+00 6.208215878109381691e+00
4.415735313878636248e+01 -1.443650749908666242e+01 3.769991116735820214e+00
4.433169122703777276e+01 -1.209442263077397683e+01 8.891861770354713812e+00
4.508441162364886168e+01 -6.265467171673364533e+00 5.256210462491834434e+00
4.515803290530816838e+01 -2.053611852265132853e+01 8.918438701379928446e+00
4.525107305419054882e+01 6.163843342185533203e-01 8.891004909178313653e+00
4.542534806310742823e+01 -2.536199305159747652e+01 8.953641288674626608e+00
4.608488054911987319e+01 -1.583262362041000237e+01 3.632717296071763080e+00
4.616442935913828904e+01 -1.346842100520543362e+01 4.130522505291940760e+00
4.632446611552900606e+01 -3.297277521182331128e+01 6.535119982649949755e+00
4.640744665296385563e+01 -2.224724242684258613e+01 8.849276100433630887e+00
4.649893477629873928e+01 -1.586915068118344507e+01 9.084929440308865622e+00
4.700641594384111244e+01 1.659358927453809684e+01 8.631181855241251810e+00
4.708212117809145525e+01 -2.908544178535294478e+01 8.954384261723106420e+00
4.717124127213246965e+01 -1.038041424384808487e+01 6.090254114745519587e+00
4.725447040864430903e+01 -7.409522736991803527e+00 7.976273666448177480e+00
4.732560559720431570e+01 -3.582804399069588364e+00 5.583751474954010696e+00
4.742604093601956805e+01 -4.789741849184790290e+00 2.719073031902083937e+00
4.749555526121366000e+01 -1.413688407928061608e+00 3.495384376986588215e+00
4.816152370063370824e+01 -1.591398996096814500e+01 9.560591478532561638e+00
4.833160858362226975e+01 -3.150347455620379478e+01 9.273865402240943467e+00
4.841822707598516473e+01 -8.509489921685489122e+00 5.342859281065303279e+00
4.849345042487015434e+01 -2.769709182306632300e+01 4.884245609145057898e+00
4.908384377198851212e+01 -6.845045535907984480e+00 4.049198696938283604e+00
4.917473504195545786e+01 -2.263331238818639068e+00 4.998527346234549640e+00
4.924025631727469943e+01 -1.469931739555540240e+01 8.734404857620360119e+00
4.934308171626898343e+01 -2.865894889178867810e+00 2.784797887499934621e+00
4.941466197758304446e+01 -7.719229099622113566e-01 3.200694764729057340e+00
5.017061041780095110e+01 -6.812152524179385438e+00 5.926723934753158396e+00
5.024605327690220236e+01 -4.000968217094520440e+00 9.132378705971133215e+00
5.032689349466696882e+01 -7.250871822497778396e+00 5.894882549079301093e+00
5.100455404423632899e+01 -2.356262493607199460e+01 9.858133220790733731e+00
5.107558055610611092e+01 -9.627733018167567991e-01 4.661250226102079175e+00
5.116208263533790301e+01 2.024834025341924360e+00 8.143081332731320288e+00
5.125923879809814565e+01 -2.496722320592387589e+01 7.639485748141671806e+00
5.133209517149590795e+01 -1.942147822481965491e+00 6.049276082778868968e+00
5.140850024035608357e+01 7.325516091160858778e+00 8.544766087277750444e+00
5.149813249101449486e+01 1.405845364060900948e+01 8.822839633493920530e+00
5.216103285046345661e+01 -1.408330140409051268e+01 5.473340969047438165e+00
5.240924351347383947e+01 -2.052730816450712759e+00 6.474444360865958537e+00
5.249192805300917541e+01 -1.823517519923236296e+00 4.150108920087559383e+00
5.308070252747771178e+01 3.594158870390528904e+01 7.543704729205557236e+00
5.324174734568564560e+01 -5.368368198982689243e-01 9.887981529434060946e+00
5.409293749821515718e+01 9.457796178488088401e+00 8.321914493186886475e+00
5.416126649264672466e+01 3.980337402139383585e+01 9.738558708635409289e+00
5.425111368705741199e+01 9.723640468284166616e+00 4.194299737895335944e+00
5.442142114470571101e+01 8.952275925991197703e-01 5.103871908479234776e+00
5.449796522786913755e+01 -2.234293432290595405e+01 8.810943636044678229e+00
5.509347698080016897e+01 3.953418316913912633e+01 9.236460703121212035e+00
5.517247603383687959e+01 5.869825269688647040e+00 5.919476677439819312e+00
5.532467749062504225e+01 1.791265778170687284e+01 7.340317840823744611e+00
5.542514631032495487e+01 7.531888101802232782e+00 9.298683323145230162e+00
5.549487759140009757e+01 1.893222683305726051e+01 6.819252872372794094e+00
5.600731419976864345e+01 7.792972305429868740e+00 3.305865675960575345e+00
5.608820127974601633e+01 4.832807448707170828e+00 5.258139992935868534e+00
5.617647838587191700e+01 1.232423655539225393e-01 9.120703928856011444e+00
5.625481131825826964e+01 6.711809600018821875e+00 7.616479392623405786e+00
5.634368214532139518e+01 1.391129175141317376e+01 5.087463258716597991e+00
5.642366187230178554e+01 1.891612283390795213e+01 9.196436211636868308e+00
5.707806777519216723e+01 1.492881914556327061e+01 6.611433142952859221e+00
5.715785748339897765e+01 -3.867098471076030819e+01 9.126121817348087362e+00
5.732724501362324787e+01 -2.932453926122926990e+00 6.230468542090140005e+00
5.741784624598548703e+01 6.130032487533480179e+00 5.426600590777312938e+00
5.749040814072140648e+01 -6.267260825818393499e+00 8.385317713520683114e+00
5.816645611288000595e+01 1.745703369500692936e+00 3.151209011421340911e+00
5.824346986343766730e+01 -1.077913652208901141e+01 8.398821581360826016e+00
5.833063532927126005e+01 -5.370423375913070174e+00 9.680808809445569096e+00
5.841336506393464845e+01 -2.210490347208578843e+00 3.172804916799436548e+00
5.907705760782663162e+01 1.170622248837611679e+01 5.701667120473477013e+00
5.924791238293335027e+01 -1.529334993615056781e+01 7.897372314533319226e+00
5.933924614251549912e+01 -2.539078441876564796e+01 9.619844699980268032e+00
5.949828014215712102e+01 -1.783469557414093387e+01 3.978051816285269382e+00
6.008939949443691120e+01 -1.074089087514641605e+01 5.024885656285100310e+00
6.016250110944231011e+01 -2.154256098709345935e+01 7.027218186447891313e+00
6.025355434788588838e+01 -4.954128925138020278e+00 3.895936292206334528e+00
6.042089102038136872e+01 -2.790730428428301213e+00 9.729198905134101238e+00
6.049960333333681461e+01 -3.133184467139408724e+01 8.542781417708290803e+00
6.100063738344685760e+01 -4.406506300805139276e+00 3.547649457995131428e+00
6.108517578667147774e+01 6.008880079064569557e+00 7.256802463196497577e+00
6.116099060484172156e+01 3.497023565235947373e+00 8.658960240174023326e+00
6.132863933909112575e+01 -1.308842725413037478e+00 4.182364178449402559e+00
6.142093321205605605e+01 -5.806719579547029220e+00 9.901343705740741186e+00
6.149790718638801934e+01 -6.012233960431691671e+00 8.688460744504816091e+00
6.207363694644219976e+01 -1.855788522380193584e+01 5.307992494291930541e+00
6.216166756997249365e+01 -4.879889750357783385e+00 8.461451244661944315e+00
6.224230377611502973e+01 -9.888623292640126294e+00 3.219209688871766950e+00
6.300406944499037110e+01 -1.613970055439441609e+01 4.897025115771765691e+00
6.316465807703733759e+01 -9.242657486151847124e+00 3.220086541366273813e+00
6.342126665564546073e+01 1.408340449564955854e+00 6.349327406031650689e+00
6.407954184396999153e+01 -1.292821599357492879e+01 4.835098487507536902e+00
6.416983428340269313e+01 -2.559506444909093403e+01 9.505848130052097389e+00
6.425734113654948487e+01 8.206698361106758099e+00 6.072790215749083842e+00
6.432943104457396544e+01 3.440545444643480000e+00 3.232014085635548817e+00
6.441058702208593445e+01 -1.498232900817920266e+00 5.620869078366649063e+00
6.509150684528155750e+01 1.392963393125120675e+01 8.834354502135930431e+00
6.516733630088549489e+01 -7.152929069847324683e+00 5.684867430143823341e+00
6.524583516721142473e+01 -7.797537243207885993e+00 9.343855818548199466e+00
6.534202942021877902e+01 -1.325209271705406477e+00 3.124381951923655087e+00
6.542163057013497962e+01 -1.740819969540112089e+00 7.281878809069819880e+00
6.600408442911579243e+01 1.007824100566655190e+01 7.076774651133844962e+00
6.615914308211253569e+01 -1.978037840712988427e+01 6.615943194223774526e+00
6.707807692925049992e+01 -1.819665731299741074e+00 4.474164803320191730e+00
6.715978519794673218e+01 -2.255324320546511441e+00 5.691230809670015489e+00
6.740839531115612715e+01 -2.361823293392250611e-01 3.257913358472601661e+00
6.800837588502639619e+01 -1.002080364060530804e-01 6.429462978581526045e+00
6.825143922254036966e+01 -1.310202678314577973e+01 5.952782067959203616e+00
6.842662360975933211e+01 -5.598325573834812552e-01 5.444536475868780201e+00
6.900962422441395461e+01 1.349383551069696985e+01 6.051817397121409314e+00
6.909309341030535734e+01 -4.071909125867270163e+00 9.457650200678109798e+00
6.925712912910135799e+01 4.852205885717514988e+00 5.056626955554283320e+00
6.932744000206032808e+01 2.902544969207872327e+01 8.182126086621067884e+00
6.942361679523291684e+01 2.994790520912098941e+01 6.973426517327416363e+00
7.016750905378698633e+01 -5.111381077122274519e+00 5.804863660776033996e+00
7.033157459098536890e+01 4.936183656783780904e+00 8.076576250853635841e+00
7.041452749830364155e+01 8.681225673083980965e+00 8.143890899759632873e+00
7.117174111122453439e+01 2.614200389740765473e+01 6.678981759310608446e+00
7.125669443070765396e+01 1.088676199962985081e+01 4.385684712440130362e+00
7.134243615338279199e+01 1.085615423400060209e+01 4.419684045433443842e+00
7.141199037754797985e+01 1.760558386121866192e+01 4.464056326453241574e+00
7.208833230794742519e+01 2.313967593969428549e+01 9.482206508096263420e+00
7.216378022027524253e+01 2.132799519307923575e+01 6.473895338889339435e+00
7.240927100552526952e+01 1.761982024786303569e+01 2.703158118141600674e+00
7.249816360654999414e+01 1.216671220840705558e+00 8.202792538026992375e+00
7.309049094874288244e+01 -8.651027145277929264e+00 8.932465760997935433e+00
7.317197181476936407e+01 -9.442772920793608193e+00 8.099211795521398471e+00
7.325085065985112465e+01 2.212862988732057445e+01 9.473000946550039103e+00
7.415882438767913243e+01 -1.365873455290881999e+00 4.931014643136089504e+00
7.425455627618471510e+01 -3.108749574053115694e+00 8.049137924250878484e+00
7.434317030662417380e+01 7.791083757907389717e+00 4.734438859708420821e+00
7.441630692630758404e+01 6.971670428975636824e+00 3.352417944034576713e+00
7.449320796763809938e+01 -1.187763073461541552e+01 5.716933017762853453e+00
7.501037011084073924e+01 1.876245828176211816e+01 9.813030834418235315e+00
7.507596858703342946e+01 -1.292239806334149499e+01 9.863428988094026906e+00
7.517180838164905765e+01 -6.494386339274081266e+00 4.701614757385685905e+00
7.524871176770624004e+01 2.574700501405149389e+00 5.668038559855053116e+00
7.534282303681509063e+01 -1.554405654491509914e+01 8.261344659366869791e+00
7.600689890353505973e+01 -1.722511629499787311e+00 3.138345802174762778e+00
7.616511097813597075e+01 -2.874519319802660178e+00 2.679037736220377663e+00
7.625560400853871101e+01 -6.130645504875166907e+00 7.389833998909884905e+00
7.642190211422331458e+01 -8.278338884419532917e+00 5.314034400298747407e+00
7.649282918670004960e+01 -2.311451032635075364e+01 9.574525941547737062e+00
7.700816832511516452e+01 5.328368109687358078e+00 9.742740652855717443e+00
7.708650030788733432e+01 3.118544626610853854e+00 7.661516083219297002e+00
7.724611049905455218e+01 5.223197808030677791e+00 8.424982130869336672e+00
7.733523472626367834e+01 -2.370863388905153357e-01 2.714720420875548434e+00
7.741245265039977141e+01 2.137956654279253854e+00 5.207403611561693069e+00
7.749404937603463850e+01 -9.553205042406791137e+00 7.478510331522597809e+00
7.900447988701779423e+01 1.293873903997902275e+01 6.937266198423883701e+00
7.915901124005867473e+01 9.945407052122789082e+00 6.206888490868454511e+00
7.924873837881735028e+01 6.710484776514173966e+00 4.442243512863615962e+00
7.933255593856011956e+01 -3.169832496462496430e+00 2.897042091426405008e+00
7.940753855069296208e+01 6.602999076502102049e+00 6.630477248016949154e+00
8.000994914320651219e+01 8.918509423194025842e+00 4.421231975169028772e+00
8.016880922221466221e+01 -1.500375948187529040e+01 8.816680180135211486e+00
8.025228834747194639e+01 -1.648555164990072797e+01 9.793075605859220545e+00
8.033511781690071984e+01 4.520527706737339280e+00 3.520747257384042594e+00
8.040868291933199430e+01 2.067436517206453050e+00 8.451711372604481909e+00
8.100625552698831200e+01 -9.502192041278226142e+00 9.413010585626931714e+00
8.116294390517775525e+01 1.038800254652076838e+01 2.535765363664526095e+00
8.132717942042921777e+01 -7.917978621329038624e+00 6.188372765809670994e+00
8.142431322620602430e+01 -3.116941329701178987e+01 9.768040757933636797e+00
8.200206752052245918e+01 -4.605641432924485912e+00 2.633673467051135475e+00
8.207388536820363356e+01 -2.738216057954828031e+00 3.241675452727486473e+00
8.224660860434092058e+01 6.588323302797101988e+00 7.337486425932873146e+00
8.233581352233326811e+01 -5.338543752852174862e+00 6.579975527348573827e+00
8.242300872397105138e+01 1.121790849270790780e+01 2.931231966778169884e+00
8.300815804786849128e+01 -4.929795777740530127e+00 3.743045971902584590e+00
8.308206571390483930e+01 2.144077679767190148e+01 5.476419413943165893e+00
8.317063360704995034e+01 4.448120035521025528e+00 3.026085066967817205e+00
8.333055421083794556e+01 1.159253516181270527e+01 4.126881040666284584e+00
8.342388508077516462e+01 1.355973542756295913e+01 7.974970235319871037e+00
8.400901223669660567e+01 2.580127455424876093e+00 9.877483402003344182e+00
8.408325803628794404e+01 -9.896440983445653927e+00 4.853939804190065210e+00
8.432592286630682565e+01 4.800426438921201466e+00 9.253366578367494100e+00
8.442261321109791083e+01 7.915608693816587049e-01 3.968925341927487249e+00
8.517618088650846175e+01 -1.188436177374788727e+01 4.125847691120680061e+00
8.524143315664019838e+01 3.162416741237822571e+00 3.780477276307656620e+00
8.533375735695894093e+01 -5.069570492632633929e+00 4.905101268784405555e+00
8.541051505995318394e+01 5.375535751611691282e+00 2.827571334743315123e+00
8.549018245295319218e+01 1.617845776243275679e+01 2.776468316579483897e+00
8.607539286826433056e+01 7.967203938151102172e+00 5.911390031352816266e+00
8.633492142353340171e+01 -7.923533627339072183e-01 9.444797224032623006e+00
8.649720787548730527e+01 1.330717460512269312e+01 5.019210903576423632e+00
8.708894000531381607e+01 -5.307237213859949065e+00 6.570340115547179671e+00
8.715679010289821349e+01 7.382879132492624841e+00 4.294717950048263511e+00
8.725912639604250387e+01 1.092901220018096708e+01 9.878404969010354364e+00
8.733518558770367690e+01 2.188155195696958799e+01 8.954986791357017140e+00
8.808875659636477451e+01 1.711001744925010115e+00 8.955108849056347964e+00
8.817578924316914879e+01 -2.297572105752482940e+00 9.929249336460676645e+00
